Order_ID,Order_Date,Store_ID,Store_Name,City,State,Region,Customer_ID,Customer_Gender,Product_Category,Product_Name,Quantity,Unit_Price,Revenue,Payment_Mode,Year,Month,Month_Name,Quarter
ORD0100,2024-01-01,STR005,Lulu Mall Mumbai,Mumbai,Maharashtra,West,CUST0556,Female,Fashion,Adidas Women's Sports Shoes,1,5123,5123,UPI,2024,1,January,1
ORD0763,2024-01-01,STR007,Lulu Mall Lucknow,Lucknow,Uttar Pradesh,North,CUST0073,Female,Beauty,Dove Body Lotion 400ml,1,571,571,UPI,2024,1,January,1
ORD0654,2024-01-02,STR005,Lulu Mall Mumbai,Mumbai,Maharashtra,West,CUST0260,Male,Grocery,Haldiram's Bhujia Sev 1kg,3,439,1317,Net Banking,2024,1,January,1
ORD0485,2024-01-03,STR003,Lulu Mall Chennai,Chennai,Tamil Nadu,South,CUST0727,Male,Electronics,Redmi Note 13 Pro,1,22889,22889,EMI,2024,1,January,1
ORD0926,2024-01-03,STR003,Lulu Mall Chennai,Chennai,Tamil Nadu,South,CUST0242,Male,Fashion,Raymond Men's Formal Shirt,2,2373,4746,EMI,2024,1,January,1
ORD1051,2024-01-03,STR001,Lulu Mall Bangalore,Bangalore,Karnataka,South,CUST0513,Female,Grocery,Nescafe Classic Coffee 200g,1,840,840,EMI,2024,1,January,1
ORD0280,2024-01-04,STR004,Lulu Mall Kochi,Kochi,Kerala,South,CUST0422,Male,Electronics,Dell Inspiron Laptop,5,62555,312775,Cash,2024,1,January,1
ORD0426,2024-01-04,STR004,Lulu Mall Kochi,Kochi,Kerala,South,CUST0679,Female,Grocery,Fresh Fruits Combo Basket,1,889,889,Cash,2024,1,January,1
ORD0497,2024-01-04,STR005,Lulu Mall Mumbai,Mumbai,Maharashtra,West,CUST0634,Male,Home Appliances,Eureka Forbes Roboclean Vacuum,3,8372,25116,Cash,2024,1,January,1
ORD0914,2024-01-04,STR002,Lulu Mall Hyderabad,Hyderabad,Telangana,South,CUST0486,Female,Fashion,Nike Running Shoes Men,1,3849,3849,EMI,2024,1,January,1
ORD1122,2024-01-04,STR005,Lulu Mall Mumbai,Mumbai,Maharashtra,West,CUST0720,Female,Fashion,Arrow Men's Formal Trouser,2,3200,6400,Net Banking,2024,1,January,1
ORD0362,2024-01-05,STR003,Lulu Mall Chennai,Chennai,Tamil Nadu,South,CUST0299,Female,Home Appliances,Crompton 25L Geyser Water Heater,1,7900,7900,UPI,2024,1,January,1
ORD0628,2024-01-05,STR001,Lulu Mall Bangalore,Bangalore,Karnataka,South,CUST0677,Female,Grocery,Tata Salt Iodized 1kg Pack of 5,1,163,163,EMI,2024,1,January,1
ORD0977,2024-01-07,STR005,Lulu Mall Mumbai,Mumbai,Maharashtra,West,CUST0070,Male,Beauty,Biotique Bio Sunscreen SPF60,2,726,1452,Debit Card,2024,1,January,1
ORD1184,2024-01-07,STR005,Lulu Mall Mumbai,Mumbai,Maharashtra,West,CUST0427,Male,Home Appliances,Kent Grand Plus RO Water Purifier,1,21091,21091,Net Banking,2024,1,January,1
ORD0111,2024-01-08,STR006,Lulu Mall Delhi,Delhi,Delhi,North,CUST0420,Male,Electronics,Dell Inspiron Laptop,2,56093,112186,UPI,2024,1,January,1
ORD0679,2024-01-08,STR008,Lulu Mall Coimbatore,Coimbatore,Tamil Nadu,South,CUST0574,Male,Fashion,W Women's Casual Dress,1,2925,2925,Credit Card,2024,1,January,1
ORD0862,2024-01-08,STR005,Lulu Mall Mumbai,Mumbai,Maharashtra,West,CUST0446,Female,Home Appliances,Kent Grand Plus RO Water Purifier,1,15970,15970,Credit Card,2024,1,January,1
ORD0700,2024-01-09,STR001,Lulu Mall Bangalore,Bangalore,Karnataka,South,CUST0499,Female,Beauty,Biotique Bio Sunscreen SPF60,1,443,443,UPI,2024,1,January,1
ORD0734,2024-01-09,STR001,Lulu Mall Bangalore,Bangalore,Karnataka,South,CUST0058,Female,Home Appliances,Voltas 1.5T 3 Star Split AC,1,38643,38643,EMI,2024,1,January,1
ORD0795,2024-01-09,STR006,Lulu Mall Delhi,Delhi,Delhi,North,CUST0167,Male,Electronics,Samsung Galaxy Tab S9,1,39439,39439,Cash,2024,1,January,1
ORD1071,2024-01-09,STR005,Lulu Mall Mumbai,Mumbai,Maharashtra,West,CUST0047,Female,Grocery,Fortune Refined Sunflower Oil 5L,2,855,1710,EMI,2024,1,January,1
ORD1037,2024-01-10,STR005,Lulu Mall Mumbai,Mumbai,Maharashtra,West,CUST0600,Female,Fashion,Adidas Women's Sports Shoes,2,5062,10124,Cash,2024,1,January,1
ORD0961,2024-01-11,STR006,Lulu Mall Delhi,Delhi,Delhi,North,CUST0697,Female,Electronics,Philips Air Fryer,3,7483,22449,Credit Card,2024,1,January,1
ORD1165,2024-01-11,STR001,Lulu Mall Bangalore,Bangalore,Karnataka,South,CUST0014,Male,Electronics,LG Front Load Washing Machine,1,40770,40770,EMI,2024,1,January,1
ORD0375,2024-01-12,STR008,Lulu Mall Coimbatore,Coimbatore,Tamil Nadu,South,CUST0203,Female,Home Appliances,Bajaj 750W Mixer Grinder,1,3858,3858,UPI,2024,1,January,1
ORD0944,2024-01-13,STR006,Lulu Mall Delhi,Delhi,Delhi,North,CUST0325,Female,Fashion,Fabindia Women's Kurta Set,2,1703,3406,Debit Card,2024,1,January,1
ORD0969,2024-01-13,STR008,Lulu Mall Coimbatore,Coimbatore,Tamil Nadu,South,CUST0232,Female,Beauty,Forest Essentials Luxury Face Wash,1,1401,1401,Debit Card,2024,1,January,1
ORD1196,2024-01-13,STR005,Lulu Mall Mumbai,Mumbai,Maharashtra,West,CUST0392,Female,Grocery,Organic India Premium Basmati Rice 5kg,1,598,598,EMI,2024,1,January,1
ORD0827,2024-01-14,STR006,Lulu Mall Delhi,Delhi,Delhi,North,CUST0641,Female,Fashion,Puma Men's Track Pants,5,2206,11030,UPI,2024,1,January,1
ORD0547,2024-01-15,STR004,Lulu Mall Kochi,Kochi,Kerala,South,CUST0265,Male,Fashion,Adidas Women's Sports Shoes,3,5772,17316,Debit Card,2024,1,January,1
ORD0879,2024-01-15,STR001,Lulu Mall Bangalore,Bangalore,Karnataka,South,CUST0725,Female,Grocery,Britannia Digestive Biscuits Multipack,1,251,251,Cash,2024,1,January,1
ORD0949,2024-01-15,STR003,Lulu Mall Chennai,Chennai,Tamil Nadu,South,CUST0240,Male,Fashion,Titan Raga Ladies Watch,1,10530,10530,Net Banking,2024,1,January,1
ORD0291,2024-01-16,STR005,Lulu Mall Mumbai,Mumbai,Maharashtra,West,CUST0462,Female,Fashion,Arrow Men's Formal Trouser,2,2568,5136,EMI,2024,1,January,1
ORD0819,2024-01-16,STR001,Lulu Mall Bangalore,Bangalore,Karnataka,South,CUST0055,Male,Grocery,Organic India Premium Basmati Rice 5kg,1,541,541,EMI,2024,1,January,1
ORD1065,2024-01-16,STR005,Lulu Mall Mumbai,Mumbai,Maharashtra,West,CUST0490,Female,Grocery,Amul Gold Full Cream Milk 6 Litres,1,361,361,Cash,2024,1,January,1
ORD0284,2024-01-17,STR001,Lulu Mall Bangalore,Bangalore,Karnataka,South,CUST0389,Female,Grocery,Organic India Premium Basmati Rice 5kg,3,454,1362,Cash,2024,1,January,1
ORD0408,2024-01-18,STR004,Lulu Mall Kochi,Kochi,Kerala,South,CUST0530,Male,Electronics,Samsung Galaxy Tab S9,4,40664,162656,Credit Card,2024,1,January,1
ORD0609,2024-01-18,STR008,Lulu Mall Coimbatore,Coimbatore,Tamil Nadu,South,CUST0611,Male,Grocery,Britannia Digestive Biscuits Multipack,1,251,251,Credit Card,2024,1,January,1
ORD0759,2024-01-18,STR003,Lulu Mall Chennai,Chennai,Tamil Nadu,South,CUST0404,Female,Home Appliances,Bajaj 750W Mixer Grinder,2,4353,8706,Cash,2024,1,January,1
ORD0359,2024-01-19,STR004,Lulu Mall Kochi,Kochi,Kerala,South,CUST0732,Female,Fashion,Adidas Women's Sports Shoes,4,4704,18816,Debit Card,2024,1,January,1
ORD0430,2024-01-19,STR005,Lulu Mall Mumbai,Mumbai,Maharashtra,West,CUST0586,Male,Fashion,Adidas Women's Sports Shoes,2,5811,11622,UPI,2024,1,January,1
